site_name,url,bias_rating,factual_reporting_rating
Baptist News Global,baptistnews.com,-7,HIGH
Battle Creek Enquirer,battlecreekenquirer.com,-8,HIGH
Battlefords News Optimist,newsoptimist.ca,-2,HIGH
Bay Area Reporter,ebar.com,-19,HIGH
Bbarta24,en.bbarta24.net,-3,HIGH
BBC,bbc.com/news,-7,VERY HIGH
BDNews24,bdnews24.com,-4,HIGH
Bearing Arms,bearingarms.com,27,MIXED
Beijing Review,bjreview.com,-17,HIGH
Being Liberal,themaven.net/beingliberal,-27,HIGH
Being Libertarian,beinglibertarian.com,23,HIGH
Beliefnet,beliefnet.com,21,MIXED
Bellingcat,bellingcat.com,0,HIGH
Berkeleyside,berkeleyside.com,-13,HIGH
Berkshire Eagle,berkshireeagle.com,-11,HIGH
Better Government Association,bettergov.org,-5,HIGH
Big Government News,biggovernment.news/index.html,28,MIXED
Big League Politics,bigleaguepolitics.com,28,MIXED
Big News Network,bignewsnetwork.com,-3,MIXED
Big Think,bigthink.com,-2,VERY HIGH
Billings Gazette,billingsgazette.com,7,HIGH
BillMoyers.com,billmoyers.com,-9,VERY HIGH
Bipartisan Policy Center,bipartisanpolicy.org,9,HIGH
Birmingham Mail,birminghammail.co.uk,-17,MIXED
Bismarck Tribune,bismarcktribune.com,1,HIGH
Bitch Media,bitchmedia.org,-22,HIGH
Bizpac Review,bizpacreview.com,29,MIXED
Black Agenda Report,blackagendareport.com,-22,HIGH
Black Lives Matter,blacklivesmatter.com,-21,HIGH
BlastingNews,us.blastingnews.com,-15,MIXED
Bloomberg News,bloomberg.com,-8,HIGH
Blue Dot Daily,bluedotdaily.com,-30,MIXED
Blue Lives Matter,bluelivesmatter.blue,24,HIGH
Blue Nation Review,bluenationreview.com,-29,MIXED
Blue State Daily,bluestatedaily.com,-28,MIXED
Bluestem Prairie,bluestemprairie.com,-13,HIGH
BNO News,bnonews.com,-3,HIGH
Boing Boing,boingboing.net,-19,HIGH
Boston Globe,bostonglobe.com,-11,HIGH
Boston Herald,bostonherald.com,9,HIGH
Boy Genius Report (BGR),bgr.com,-10,HIGH
Breaking Defense,breakingdefense.com,13,HIGH
Breakthrough Institute,thebreakthrough.org,8,HIGH
Breitbart Unmasked,breitbartunmasked.com,-28,MIXED
Brennan Center for Justice,brennancenter.org,-15,HIGH
BrexitCentral,brexitcentral.com,26,MIXED
Bridge Magazine,bridgemi.com,-2,HIGH
Brief.News,brief.news,-1,HIGH
Brookings Institute,brookings.edu,-14,VERY HIGH
Buffalo News,buffalonews.com,-12,HIGH
Bulletin of the Atomic Scientists,thebulletin.org,-5,VERY HIGH
Bullshido,bullshido.net,-3,HIGH
Burnett County Sentinel,burnettcountysentinel.com,-3,MIXED
Business 2 Community,business2community.com,-2,HIGH
Business Insider,businessinsider.com,-11,HIGH
Bust Magazine,bust.com,-23,HIGH
Bustle Magazine,bustle.com,-14,HIGH
Buzzfeed,buzzfeed.com/news,-17,MIXED
C-Span,c-span.org,-1,VERY HIGH
Calgary Herald,calgaryherald.com,-13,HIGH
Calgary Sun,calgarysun.com,13,HIGH
California Political Review,capoliticalreview.com,14,HIGH
CalWatchdog.com,calwatchdog.com,-8,HIGH
Cambridge Analytica,ca-political.com,26,MIXED
Campaign for Liberty,campaignforliberty.org,17,MIXED
Campaign Life Coalition,campaignlifecoalition.com,30,MIXED
Campus Reform,campusreform.org,23,MIXED
Canadaland,canadalandshow.com,-13,HIGH
Canadian Dimension,canadiandimension.com,-18,HIGH
Canadian Jewish News (CJN),cjnews.com,10,HIGH
Canadian Public Affairs Channel (CPAC),cpac.ca,-1,HIGH
Canadian Taxpayers Federation,taxpayer.com,15,HIGH
Cape Cod Times,capecodtimes.com,-4,HIGH
Capital Gazette,capitalgazette.com,-12,HIGH
Capital Research Center,capitalresearch.org,24,MIXED
Capitol Fax,capitolfax.com,-3,HIGH
Carbonated TV,carbonated.tv,-26,HIGH
Care2,care2.com,-27,MIXED
Caribbean Life News,caribbeanlifenews.com,-13,HIGH
Carnegie Endowment for International Peace,carnegieendowment.org,-5,VERY HIGH
Carolina Public Press,carolinapublicpress.org,-12,HIGH
Casper Star-Tribune,trib.com,1,HIGH
Castanet,castanet.net,-4,HIGH
Cato Institute,cato.org,17,HIGH
CBC News (Canadian Broadcasting),cbc.ca/news,-12,HIGH
CBS News,cbsnews.com,-12,HIGH
CCTV America,cctv-america.com,-10,HIGH
Center for a New American Security,cnas.org,-4,HIGH
Center for a Stateless Society,c4ss.org,15,HIGH
Center for Advanced Defense Studies,c4ads.org,1,VERY HIGH
Center for American Progress,americanprogress.org,-23,HIGH
Center for Democracy and Technology,cdt.org,-2,HIGH
Center for Global Development,cgdev.org,-4,VERY HIGH
Center for Inquiry,centerforinquiry.net,-1,VERY HIGH
Center for International Policy,ciponline.org,-11,VERY HIGH
Center for Media and Democracy (PR Watch),prwatch.org/cmd,-21,HIGH
Center for Popular Democracy,populardemocracy.org,-16,HIGH
Center for Public Integrity,publicintegrity.org,-3,VERY HIGH
Center for Responsive Politics (Open Secrets),opensecrets.org,-1,VERY HIGH
Center for Strategic and International Studies,csis.org,-4,VERY HIGH
Center for the National Interest,cftni.org,10,HIGH
Certified Politics,certifiedpolitics.com,-28,MIXED
Change.org,change.org,-21,HIGH
Charleston Gazette-Mail,wvgazettemail.com,-10,HIGH
Charlotte Observer,charlotteobserver.com,-13,HIGH
Check Your Fact,checkyourfact.com,9,HIGH
Chicago Reader,chicagoreader.com,-22,HIGH
Chicago Sun Times,chicago.suntimes.com,-12,HIGH
Chicago Tribune,chicagotribune.com,9,HIGH
Chicks on the Right,chicksontheright.com,24,MIXED
China Daily,chinadaily.com.cn,-4,HIGH
China Global Television Network (CGTN),news.cgtn.com,-2,HIGH
Chinook Observer,chinookobserver.com,-4,HIGH
Christian News Alerts,christiannewsalerts.com,30,MIXED
Christian Post,christianpost.com,24,MIXED
Christian Science Monitor,csmonitor.com,-4,HIGH
Christianity Today,christianitytoday.com,7,HIGH
Chronicles Magazine (Rockford),chroniclesmagazine.org,28,MIXED
Chronicles of Democracy,chroniclesofdemocracy.com,-22,HIGH
Church Militant,churchmilitant.com,30,MIXED
Cincinnati Enquirer,cincinnati.com,10,HIGH
Circa News,circa.com,7,HIGH
Citizen Critics,citizencritics.org,-18,HIGH
Citizen Free Press,citizenfreepress.com,27,MIXED
Citizen Truth,citizentruth.org,-13,HIGH
Citizens for Legitimate Government (CLG News),legitgov.org,-16,MIXED
Citizens for Responsibility and Ethics in Washington (CREW),citizensforethics.org,-15,HIGH
Citizens for Tax Justice,ctj.org,-13,HIGH
Citizens United,citizensunited.org/index.aspx,23,MIXED
City and State New York,cityandstateny.com,-3,HIGH
City Journal,city-journal.org,24,HIGH
Civitas Institute,nccivitas.org,29,MIXED
Clean Technica,cleantechnica.com,-9,VERY HIGH
Clear Politics,clear-politics.com,30,MIXED
CNBC,cnbc.com,-13,HIGH
CNN,cnn.com,-20,MIXED
Code Pink,codepink.org,-29,MIXED
Cold Dead Hands,colddeadhands.us,27,MIXED
Colombia Reports,colombiareports.com,-12,MIXED
Colorado Springs Gazette,gazette.com,12,HIGH
Columbia Daily Herald,columbiadailyherald.com,9,HIGH
Columbia Journalism Review,cjr.org,-11,HIGH
Columbus Dispatch,dispatch.com,10,HIGH
Commentary Magazine,commentarymagazine.com,24,HIGH
Committee for a Responsible Federal Budget,crfb.org,1,VERY HIGH
Committee for Economic Development,ced.org,3,HIGH
Committee to Investigate Russia,investigaterussia.org,-9,HIGH
Committee to Protect Journalists,cpj.org,-2,VERY HIGH
Common Cause,commoncause.org,-12,HIGH
Common Dreams,commondreams.org,-24,HIGH
Commonweal Magazine,commonwealmagazine.org,-10,HIGH
Commonwealth Fund,commonwealthfund.org,-11,HIGH
Communities Digital News,commdiginews.com,12,HIGH
Competitive Enterprise Institute,cei.org,17,HIGH
Concord Monitor,concordmonitor.com,-4,HIGH
Conflict News,conflict-news.com,3,HIGH
Congress.gov,congress.gov,-1,VERY HIGH
Congressional Budget Office (CBO),cbo.gov,-1,VERY HIGH
Conservative Base,conservativebase.com,30,MIXED
Conservative Daily News,conservativedailynews.com,29,MIXED
Conservative HQ,conservativehq.com,29,MIXED
Conservative Institute,conservativeinstitute.org,22,HIGH
Conservative Outfitters,conservativeoutfitters.com/blogs/news,28,MIXED
Conservative Review,conservativereview.com,24,MIXED
Conservative Today,conservativetoday.com,30,MIXED
ConservativeOpinion.com,conservativeopinion.com,28,MIXED
Conservatives Here,conservativeshere.com,30,MIXED
Consortium News,consortiumnews.com,-5,HIGH
Constitution Daily,constitutioncenter.org,1,HIGH
Constitution Project,constitutionproject.org,1,HIGH
Consumer Reports,consumerreports.org,-1,HIGH
Consumerist,consumerist.com,-3,HIGH
Content News,content.news,-27,MIXED
Controversial Times,controversialtimes.com,30,MIXED
Cook Political Report,cookpolitical.com,-2,HIGH
Corporate Presidency,corporatepresidency.org,-15,HIGH
Cosmopolitan,cosmopolitan.com,-26,HIGH
Council for the National Interest,councilforthenationalinterest.org,-14,HIGH
Council on Foreign Relations,cfr.org,9,HIGH
Countable News,blog.countable.us,-4,HIGH
CounterCurrents.org,countercurrents.org,-22,HIGH
CounterPunch,counterpunch.org,-22,HIGH
Courthouse News Service,courthousenews.com,-1,HIGH
Cowger Nation,cowgernation.com,30,MIXED
CP24,cp24.com,-3,HIGH
Credo Action,credoaction.com,-14,HIGH
Crime Prevention Research Center,crimeresearch.org,28,MIXED
Crimeola,crimeola.com,-1,HIGH
CrimethInc,crimethinc.com,-22,HIGH
Crisis Magazine,crisismagazine.com,27,MIXED
Crooked Media,crooked.com,-23,HIGH
Crooks and Liars,crooksandliars.com,-28,MIXED
Crosscut.com,crosscut.com,-13,HIGH
CSC Mediagroup USA,cscmediagroupus.com,30,HIGH
CTV News,ctvnews.ca,-14,HIGH
Current Affairs Magazine,currentaffairs.org,-21,HIGH
Curve Magazine,curvemag.com,-18,HIGH
Daily 49er,daily49er.com,-19,HIGH
Daily Beast,thedailybeast.com,-23,HIGH
Daily Business Review,dailybusinessreview.com,2,HIGH
Daily Caller,dailycaller.com,26,MIXED
Daily Dems,dailydems.com,-29,MIXED
Daily Dot,dailydot.com,-19,HIGH
Daily Express,express.co.uk,23,MIXED
Daily Herald,dailyherald.com,8,HIGH
Daily Hive,dailyhive.com,-9,HIGH
Daily Journal (Illinois),daily-journal.com,1,HIGH
Daily Journal (Missouri),dailyjournalonline.com,-3,HIGH
Daily Kos,dailykos.com,-27,MIXED
Daily Mail,dailymail.co.uk/ushome/index.html,24,MIXED
Daily Mirror,mirror.co.uk,-23,MIXED
Daily News Bin,dailynewsbin.com,-28,MIXED
Daily Press,dailypress.com,7,HIGH
Daily Record (Scotland),dailyrecord.co.uk,-22,MIXED
Daily Record,dailyrecord.com,-4,HIGH
Daily Sabah,dailysabah.com,22,MIXED
Daily Signal,dailysignal.com,29,MIXED
Daily Surge,dailysurge.com,28,MIXED
Daily Telegraph,telegraph.co.uk,11,HIGH
Dallas Morning News,dallasnews.com,12,HIGH
Dallas Voice,dallasvoice.com,-23,HIGH
Dangerous,dangerous.com,30,MIXED
Darien Times,darientimes.com,-2,HIGH
Dawn,dawn.com,-12,HIGH
Dayton Daily News,daytondailynews.com,-5,HIGH
DC Statesman,dcstatesman.com,29,MIXED
DC Tribune,dctribune.org,-29,MIXED
DC Whispers,dcwhispers.com,29,MIXED
DCReport.org,dcreport.org,-17,HIGH
de Volkskrant,volkskrant.nl,9,HIGH
Dead State,deadstate.org,-24,HIGH
Deadline Hollywood,deadline.com,-15,HIGH
Deadspin,deadspin.com,-22,HIGH
DeathandTaxes,deathandtaxesmag.com,-22,HIGH
Debate Post,debatepost.com,19,HIGH
Deccan Chronicle,deccanchronicle.com,14,HIGH
Deccan Herald,deccanherald.com,-13,MIXED
Deep Left Field,deepleftfield.info,-29,MIXED
DeepStateNation.com,deepstatenation.com,-27,MIXED
Defense One,defenseone.com,0,HIGH
Delaware Online – The News Journal,delawareonline.com,-9,HIGH
Democracy 21,democracy21.org,-16,HIGH
Democracy Chronicles,democracychronicles.org/author/tawfik,-24,HIGH
Democracy Guardian,democracyguardian.com,-28,MIXED
Democracy Now,democracynow.org,-22,HIGH
Democrat and Chronicle,democratandchronicle.com,-11,HIGH
Democratic Underground,democraticunderground.com,-28,MIXED
Demos,demos.org,-11,HIGH
Denver Post,denverpost.com,-14,HIGH
Deplorables Report,deplorablesreport.com,24,MIXED
Deseret News,deseretnews.com,15,HIGH
Desert Sun,desertsun.com,6,HIGH
DeSmog,desmogblog.com,-18,HIGH
Detroit Free Press,freep.com,-12,HIGH
Detroit News,detroitnews.com,12,HIGH
Die Hard Democrat,dieharddemocrat.com,-26,HIGH
Die Zeit,zeit.de/english/index,-9,HIGH
DifferenceBetween.net,differencebetween.net,0,VERY HIGH
Digg,digg.com,-9,HIGH
Digital Journal,digitaljournal.com,-2,HIGH
Disobedient Media,disobedientmedia.com,24,MIXED
Dissent Magazine,dissentmagazine.org,-23,HIGH
DiversityInc,diversityinc.com,-12,HIGH
Doctors Without Borders,doctorswithoutborders.org,-1,HIGH
Downsizing the Federal Government,downsizinggovernment.org,15,HIGH
DPA German Press Agency,dpa-international.com,-3,HIGH
Drudge Report,drudgereport.com,29,MIXED
Drudge Retort,drudge.com,-23,MIXED
Duluth News Tribune,duluthnewstribune.com,9,HIGH
Dutch Daily News,dutchdailynews.com,-13,HIGH
Dutch Review,dutchreview.com,-13,MIXED
DW News,dw.com/en/top-stories/s-9097,-14,HIGH
Eagle Tribune,eagletribune.com,1,HIGH
Earth First Journal,earthfirstjournal.org,-26,MIXED
Earth Institute,earth.columbia.edu/sections/view/9,-2,HIGH
EarthJustice,earthjustice.org,-17,HIGH
East Bay Times,eastbaytimes.com,-9,HIGH
Economic Policy Institute,epi.org,-13,HIGH
EconomicPolicyJournal.com,economicpolicyjournal.com,24,HIGH
Economics.Help,economicshelp.org,-13,HIGH
Economy In Crisis,economyincrisis.org,-24,MIXED
Edmonton Journal,edmontonjournal.com,-10,HIGH
Edmonton Sun,edmontonsun.com,15,HIGH
EgbertoWillies,egbertowillies.com,-28,HIGH
Egyptian Streets,egyptianstreets.com,-12,MIXED
EJ Insight (EJI),ejinsight.com,-5,HIGH
El Pais,elpais.com/elpais/inenglish.html,-13,HIGH
El Paso Times,elpasotimes.com,-8,HIGH
Electoral-Vote.com,electoral-vote.com,-19,HIGH
Electronic Frontier Foundation,eff.org,-8,HIGH
Electronic Intifada,electronicintifada.net,-25,HIGH
Elisabeth Parker,elisabethparker.com,-26,HIGH
Elite Daily,elitedaily.com,-19,MIXED
Elko Daily Free Press,elkodaily.com,1,HIGH
Emirates 24/7,emirates247.com,-11,HIGH
Empty Wheel,emptywheel.net,-15,HIGH
Energy Citizens,energycitizens.org,27,MIXED
Engadget,engadget.com,-12,HIGH
Erie Times-News,goerie.com,-4,HIGH
ERR News (Estonia Public Broadcasting),news.err.ee,1,HIGH
Esquire Magazine,esquire.com,-22,HIGH
Ethics & Religious Liberty Commission (ERLC),erlc.com,28,MIXED
Ethics and Public Policy Center (EPPC),eppc.org,15,HIGH
EU Observer,euobserver.com,-11,HIGH
Euractiv,euractiv.com,-17,MIXED
Eurasia Group,eurasiagroup.net,-3,HIGH
Eurasia Review,eurasiareview.com,-4,HIGH
Euronews,euronews.com,-4,HIGH
Every CRS Report,everycrsreport.com,0,VERY HIGH
Everyday Feminism,everydayfeminism.com,-21,HIGH
Evonomics,evonomics.com,-23,HIGH
Exposing the Truth,exposingtruth.com,-10,HIGH
ExtraNewsFeed,extranewsfeed.com,-25,MIXED
Fact / Myth,factmyth.com,-9,HIGH
Factbox.TV,factbox.tv,-15,HIGH
FactCheck,factcheck.org,-1,VERY HIGH
Facts and Logic About the Middle East (FLAME),factsandlogic.org,28,MIXED
FactsCan,factscan.ca,-1,VERY HIGH
Factwire News Agency,factwire.org/english,-1,HIGH
Fair Observer,fairobserver.com,-3,HIGH
Fairness & Accuracy in Reporting (FAIR),fair.org,-14,HIGH
FairVote,fairvote.org,-9,HIGH
Faith Family America,faithfamilyamerica.com,13,HIGH
FaithWire,faithwire.com,27,MIXED
Family Security Matters,familysecuritymatters.org,26,MIXED
Far Left Watch,farleftwatch.com,29,HIGH
Fast Company Magazine,fastcompany.com,-11,HIGH
Federal News Radio,federalnewsradio.com,-1,HIGH
Federal Times,federaltimes.com,0,HIGH
Federalist Press,federalistpress.com,30,MIXED
Federalist Society,fedsoc.org,26,MIXED
Feminist Current,feministcurrent.com,-19,HIGH
Feminist Frequency,feministfrequency.com,-8,HIGH
Feministing,feministing.com,-25,HIGH
Fifth Estate,fifthestate.org,-22,HIGH
Fight for the Future,fightforthefuture.org,-14,HIGH
Filming Cops,filmingcops.com,-24,HIGH
Financial Express,financialexpress.com,2,HIGH
Financial Post,financialpost.com,10,HIGH
Financial Times,ft.com,1,HIGH
First Draft News,firstdraftnews.org,-3,HIGH
First in Freedom Daily,firstinfreedomdaily.com,28,MIXED
First Post,firstpost.com,-22,HIGH
First Things Magazine,firstthings.com,23,MIXED
FitsNews,fitsnews.com,13,HIGH
FiveThirtyEight,fivethirtyeight.com,-8,HIGH
Florida Times-Union,jacksonville.com,10,HIGH
Forbes,forbes.com,14,MIXED
Foreign Affairs,foreignaffairs.com,5,HIGH
Foreign Policy in Focus,fpif.org,-10,HIGH
Foreign Policy Initiative,foreignpolicyi.org,12,HIGH
Foreign Policy Journal,foreignpolicyjournal.com,-26,MIXED
Foreign Policy News,foreignpolicynews.org,-23,MIXED
Foreign Policy Research Institute,fpri.org,10,VERY HIGH
Foreign Policy,foreignpolicy.com,3,HIGH
Fort Bend Herald,fbherald.com,13,HIGH
Fort Worth Star-Telegram,star-telegram.com,10,HIGH
Fort Worth Star-Telegram,star-telegram.com,10,HIGH
Fort Worth Weekly,fwweekly.com,-14,HIGH
Fortnightly Review,fortnightlyreview.co.uk,15,HIGH
Fortune Magazine,fortune.com,8,HIGH
Forward Progressives,forwardprogressives.com,-26,HIGH
Foundation for Defense of Democracies,defenddemocracy.org,21,HIGH
Foundation for Economic Education,fee.org,12,HIGH
Fox News,foxnews.com,24,MIXED
France24,france24.com/en,-13,HIGH
Franklin Center for Government and Public Integrity,franklincenterhq.org,15,MIXED
Fraser Institute,fraserinstitute.org,13,HIGH
Freakonomics Radio,freakonomics.com,-10,HIGH
Free Press,freepress.org,-27,HIGH
Free Press,freepress.net,-15,HIGH
Free Rein News,frnewsreport.com,-28,HIGH
Free Republic,freerepublic.com,27,MIXED
Free West Media,freewestmedia.com,26,MIXED
Free Wheel Media,freewheelus.com,-12,HIGH
Freedom Crossroads,freedomcrossroads.com,26,MIXED
Freedom From Religion Foundation (FFRF),ffrf.org,-1,HIGH
Freedom House,freedomhouse.org,10,HIGH
Freedom News and Journal,freedomnews.org.uk,-27,HIGH
Freedom Works,freedomworks.org,26,MIXED
Fresno Bee,fresnobee.com,-11,HIGH
Frontiers of Freedom,ff.org,24,MIXED
FStv (freespeech.org),freespeech.org,-19,HIGH
Full Fact (UK),fullfact.org,-5,VERY HIGH
Fusion,fusion.kinja.com,-16,MIXED
Future in America,futureinamerica.com/news,30,MIXED
Gallup,gallup.com/home.aspx,-2,VERY HIGH
Gatestone Institute,gatestoneinstitute.org,28,MIXED
Gay Star News,gaystarnews.com,-15,HIGH
GBTimes,gbtimes.com,-2,HIGH
Gears of Biz,gearsofbiz.com,-4,HIGH
Geopolitics Alert,geopoliticsalert.com,-13,HIGH
Get Religion,getreligion.org,26,MIXED
Gizmodo,gizmodo.com,-20,HIGH
Glamour Magazine,glamour.com,-14,HIGH
Global Citizen,globalcitizen.org/en,-11,HIGH
Global Integrity,globalintegrity.org,1,HIGH
Global News,globalnews.ca,-8,HIGH
Global Post,pri.org/programs/globalpost,-10,HIGH
Global Risk Insights (GRI),globalriskinsights.com,-7,HIGH
Global Slavery Index,globalslaveryindex.org,-1,VERY HIGH
Global Times (China),globaltimes.cn,-10,HIGH
Global Voices,globalvoices.org,-18,HIGH
Globe Gazette (Iowa),globegazette.com,-3,HIGH
Globe Today,globetoday.com,-22,MIXED
Good Magazine,good.is,-21,HIGH
GoodNewsNetwork,goodnewsnetwork.org,1,HIGH
GOP.com,gop.com,24,MIXED
GOPOCALYPSE,gopocalypse.org,-28,MIXED
GOPUSA,gopusa.com,29,MIXED
Governing Magazine,governing.com,-8,HIGH
Government Accountability Institute,g-a-i.org,29,MIXED
Government Executive,govexec.com,-4,HIGH
GovTrack,govtrack.us,0,VERY HIGH
GQ Magazine,gq.com,-19,HIGH
Grabien News,news.grabien.com/index.php,-3,MIXED
Grand Rapids Press,mlive.com/grand-rapids/#/0,13,HIGH
Grasping Reality With Both Hands: Bradford DeLong,bradford-delong.com,-21,HIGH
Green Left Weekly,greenleft.org.au,-26,MIXED
Greensboro News and Record,greensboro.com,-12,HIGH
Greentech Media,greentechmedia.com,-12,HIGH
Greenville Gazette,greenvillegazette.com,-26,HIGH
Grist,grist.org,-14,HIGH
Groopspeak,news.groopspeak.com,-28,MIXED
Group of Thirty,group30.org,7,HIGH
Guardian Liberty Voice,guardianlv.com,-24,HIGH
Guardians of Democracy,theguardiansofdemocracy.com,-24,HIGH
Guerrilla News,guerrilla.news,30,MIXED
Guido Fawkes,order-order.com,29,MIXED
Gulf News,gulfnews.com,10,HIGH
Guns.com,guns.com,10,HIGH
Haaretz,haaretz.com,-16,HIGH
Happy Foxie,happy-foxie.com,-28,MIXED
Harper’s Magazine,harpers.org,-8,HIGH
